Designator,Footprint,Quantity,Value,LCSC Part #
"C17, C18",0402,2,1uF,C7472946
"C19, C20, C21, C22, C23, C24, C25",0402,7,100nF,C85858
J3,PinSocket_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED4, LED5, LED6, LED7, LED8, LED9",LED_WS2812_1615,38,WS2812_1615,C41347987
"R1, R2, R5",0402,3,1.5k,C2933074
"R3, R4",0402,2,5.1k,C2906874
"SW1, SW2",SW_Push_SPST_TSA016,2,SW_Push,C2888428
U1,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,1,CH32V003FxUx,C5299908
U2,SOT-23-3,1,XC6206PxxxMR,C5252899
U3,PG-TSOP6-6-8_1.65x3.05mm_P0.95mm,1,TLI493D-A2B6,C1559664
