Designator,Mid X,Mid Y,Rotation,Layer
C17,133.88375,-69.72,90.0,top
C18,128.60875,-70.225,90.0,top
C19,121.52,-66.5,180.0,top
C20,125.7,-47.9,90.0,top
C21,127.9,-65.1,270.0,top
C22,138.5,-57.2,270.0,top
C23,121.2,-57.1,270.0,top
C24,138.5,-49.1,270.0,top
C25,127.45,-69.2,90.0,top
J3,152.65,-68.65,0.0,top
LED1,128.5,-47.0,0.0,top
LED10,136.5,-51.0,180.0,top
LED11,140.5,-51.0,180.0,top
LED12,144.5,-51.0,180.0,top
LED13,148.5,-51.0,180.0,top
LED14,152.5,-51.0,180.0,top
LED15,120.5,-55.0,0.0,top
LED16,124.5,-55.0,0.0,top
LED17,128.5,-55.0,0.0,top
LED18,132.5,-55.0,0.0,top
LED19,136.5,-55.0,0.0,top
LED2,132.5,-47.0,0.0,top
LED20,140.5,-55.0,0.0,top
LED21,144.5,-55.0,0.0,top
LED22,148.5,-55.0,0.0,top
LED23,152.5,-55.0,0.0,top
LED24,156.5,-55.0,0.0,top
LED25,124.5,-59.0,180.0,top
LED26,128.5,-59.0,180.0,top
LED27,132.5,-59.0,180.0,top
LED28,136.5,-59.0,180.0,top
LED29,140.5,-59.0,180.0,top
LED3,136.5,-47.0,0.0,top
LED30,144.5,-59.0,180.0,top
LED31,148.5,-59.0,180.0,top
LED32,152.5,-59.0,180.0,top
LED33,128.5,-63.0,0.0,top
LED34,132.5,-63.0,0.0,top
LED35,136.5,-63.0,0.0,top
LED36,140.5,-63.0,0.0,top
LED37,144.5,-63.0,0.0,top
LED38,148.5,-63.0,0.0,top
LED4,140.5,-47.0,0.0,top
LED5,144.5,-47.0,0.0,top
LED6,148.5,-47.0,0.0,top
LED7,124.5,-51.0,180.0,top
LED8,128.5,-51.0,180.0,top
LED9,132.5,-51.0,180.0,top
R1,124.05,-66.45,180.0,top
R2,122.15,-67.7,180.0,top
R3,135.29,-69.4,180.0,top
R4,140.0,-68.29,90.0,top
R5,122.15,-68.65,180.0,top
SW1,131.1,-73.6,180.0,top
SW2,145.9,-73.6,180.0,top
U1,123.05,-63.8,90.0,top
U2,131.23375,-70.2,180.0,top
U3,125.1,-68.7,0.0,top
